,all,and,antichrist,are,as,believe,buonapartes,but,by,call,chapter,defend,do,don,down,estates,faithful,family,friend,frightened,genoa,have,he,horrors,how,if,infamies,is,just,longer,lucca,me,means,more,my,news,no,nothing,now,of,perpetrated,prince,really,see,sit,slave,so,still,tell,that,the,this,to,try,war,warn,well,will,with,you,yourself,Category,category
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0.0,0.19600556428970572,0.0,0.24939203917233155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29176726821862126,0.0,0.29176726821862126,0.0,0.0,0.29176726821862126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29176726821862126,0.0,0.29176726821862126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29176726821862126,0.29176726821862126,0.0,0.29176726821862126,0.0,0.0,0.0,0.0,0.29176726821862126,0.0,0.0,0.0,0.21932633569038487,0.0,0.0,0.0,0.0,0.0,0.29176726821862126,0.0,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27209255527078435,0.0,0.0,0.0,0.0,0.0,0.31832492254944644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27209255527078435,0.0,0.0,0.0,0.0,0.0,0.27209255527078435,0.31832492254944644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27209255527078435,0.27209255527078435,0.0,0.31832492254944644,0.0,0.0,0.31832492254944644,0.31832492254944644,0.0,0.0,0.0,0.35096214218989535,0.0,-1,-1
4,0.0,0.20719842749965772,0.0,0.0,0.0,0.0,0.0,0.0,0.30842858665693623,0.0,0.0,0.30842858665693623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30842858665693623,0.0,0.2636335276230424,0.30842858665693623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30842858665693623,0.0,0.0,0.0,0.0,0.0,0.0,0.30842858665693623,0.0,0.2636335276230424,0.23185092744173968,0.0,0.2636335276230424,0.30842858665693623,0.0,0.0,0.0,0.0,0.0,0.1700255773547008,0.0,-1,-1
5,0.0,0.0,0.583941710280177,0.0,0.0,0.2919708551400885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24956605786128022,0.2919708551400885,0.0,0.0,0.0,0.0,0.2919708551400885,0.0,0.0,0.0,0.0,0.0,0.2919708551400885,0.0,0.0,0.0,0.2919708551400885,0.0,0.0,0.0,0.0,0.2919708551400885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2919708551400885,0.0,0.0,0.0,0,0
6,0.0,0.1546947678738479,0.0,0.19682932854052462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19682932854052462,0.0,0.0,0.0,0.2302734108280457,0.0,0.2302734108280457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4605468216560914,0.0,0.0,0.0,0.0,0.4605468216560914,0.0,0.4605468216560914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19682932854052462,0.0,0.0,0.0,0.0,0.0,0.2302734108280457,0.2538828845266778,0.0,1,1
7,0.0,0.0,0.0,0.0,0.4820247272326421,0.0,0.0,0.0,0.0,0.4820247272326421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4820247272326421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26572288073327016,0.4820247272326421,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38391645963029064,0.0,0.0,0.0,0.0,0.7678329192605813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44914928729177234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24759983410739586,0.0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605158729828086,0.0,0.5172676516328033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605158729828086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
10,0.3840049296674616,0.2579696598218204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3840049296674616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32823343429406615,0.0,0.0,0.0,0.3840049296674616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3840049296674616,0.0,0.0,0.0,0.32823343429406615,0.0,0.2886629285910867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21168809474325398,0.0,0,0
